year	price	engine_volume_l	engine_power_hp	fuel_type	transmission	drivetrain	mileage_km	evaluation
2016	1987000	1.8	180	бензин	робот	передний	86000	нормальная цена
2012	1295000	1.8	152	бензин	автомат	передний	143348	высокая цена
2008	980000	2.0	170	дизель	робот	передний	280000	нормальная цена
2013	1650000	1.8	152	бензин	робот	передний	187000	нормальная цена
2010	729000	1.8	152	бензин	робот	передний	292813	хорошая цена
2018	1938000	1.8	180	бензин	робот	передний	148000	нормальная цена
2012	1170000	1.8	152	бензин	автомат	передний	250000	нормальная цена
2012	1170000	1.8	152	бензин	автомат	передний	250000	нормальная цена
2021	3210000	1.4	150	бензин	робот	передний	28189	нормальная цена
2017	1799000	1.4	150	бензин	робот	передний	130000	хорошая цена
2012	1400000	1.8	152	бензин	автомат	передний	210407	высокая цена
2017	2250000	1.4	150	бензин	робот	передний	84909	нормальная цена
2006	699000	1.8	150	бензин	автомат	передний	247608	нормальная цена
2017	2170000	1.4	150	бензин	робот	передний	137416	нормальная цена
2012	2750000	2.0	140	дизель	робот	передний	54000	Unknown
2017	1950000	1.4	150	бензин	робот	передний	160000	нормальная цена
2011	1050000	1.8	152	бензин	робот	передний	100000	хорошая цена
2009	1100000	1.8	160	бензин	робот	передний	210000	нормальная цена
2013	1399000	1.8	152	бензин	автомат	передний	250887	нормальная цена
2019	1599999	1.4	150	бензин	робот	передний	62000	Unknown
2014	1500000	1.8	152	бензин	робот	передний	195000	нормальная цена
2019	2540000	1.4	150	бензин	робот	передний	69764	нормальная цена
2012	1047500	1.8	152	бензин	автомат	передний	350000	нормальная цена
2011	1069000	2.0	140	дизель	робот	передний	238000	нормальная цена
2017	2270000	1.8	180	бензин	робот	передний	120402	нормальная цена
2012	720000	1.8	152	бензин	автомат	передний	400000	Unknown
2012	1700000	3.6	260	бензин	робот	4WD	245500	Unknown
2018	2260000	1.8	180	бензин	робот	передний	131000	нормальная цена
2013	1159000	1.8	152	бензин	робот	передний	210000	нормальная цена
2011	1480000	2.0	140	дизель	робот	передний	185000	высокая цена
2013	1350000	1.8	160	бензин	автомат	передний	299000	нормальная цена
2020	3369000	2.0	190	бензин	робот	передний	50000	нормальная цена
2013	1438000	1.8	152	бензин	робот	передний	127183	нормальная цена
2019	2435000	1.4	150	бензин	робот	передний	96852	нормальная цена
2019	3440000	2.0	190	бензин	робот	передний	29000	нормальная цена
2010	1230000	1.8	152	бензин	робот	передний	222100	нормальная цена
2011	1320000	1.8	152	бензин	автомат	передний	199900	высокая цена
2011	1049000	1.8	152	бензин	автомат	передний	183000	нормальная цена
2013	1599000	1.8	152	бензин	автомат	передний	319682	нормальная цена
2012	1250000	2.0	200	бензин	робот	передний	188000	нормальная цена
2010	900000	1.8	152	бензин	робот	передний	225000	хорошая цена
2021	2848000	1.4	150	бензин	робот	передний	82000	нормальная цена
2024	4590000	2.0	186	бензин	робот	передний	10	нормальная цена
2013	1440000	1.8	152	бензин	автомат	передний	183500	нормальная цена
2017	1549000	1.4	150	бензин	робот	передний	159803	хорошая цена
2017	2100000	2.0	190	дизель	робот	передний	180000	нормальная цена
2021	2897000	1.4	150	бензин	робот	передний	82320	нормальная цена
2010	1600000	1.8	152	бензин	робот	передний	232027	высокая цена
2012	100000	2.0	140	дизель	робот	передний	120000	Unknown
2016	1990000	2.0	280	бензин	робот	4WD	164599	нормальная цена
2013	1790000	1.8	152	бензин	робот	передний	45000	нормальная цена
2015	1405000	1.8	152	бензин	робот	передний	183583	нормальная цена
2019	2800000	1.4	150	бензин	робот	передний	33886	нормальная цена
2010	1250000	1.8	160	бензин	робот	передний	350000	высокая цена
2010	1150000	1.8	152	бензин	робот	передний	193000	нормальная цена
2016	2700000	1.8	180	бензин	робот	передний	90000	высокая цена
2021	2650000	1.4	150	бензин	робот	передний	41000	нормальная цена
2012	1197000	1.8	152	бензин	автомат	передний	198000	нормальная цена
2020	3295000	1.4	150	бензин	робот	передний	79273	нормальная цена
2005	420000	2.8	193	бензин	автомат	передний	205000	хорошая цена
2011	1224000	1.9	105	дизель	механика	передний	230000	Unknown
2008	930000	1.8	150	бензин	автомат	передний	145000	Unknown
2018	2085000	1.8	180	бензин	робот	передний	103180	нормальная цена
2020	3555200	2.0	190	бензин	робот	передний	35996	нормальная цена
2012	1129000	1.8	152	бензин	автомат	передний	173000	нормальная цена
2018	1890000	1.4	150	бензин	робот	передний	155000	нормальная цена
2018	2090000	1.8	180	бензин	робот	передний	78000	отличная цена
2022	3149000	1.4	150	бензин	робот	передний	12198	нормальная цена
2010	958000	1.8	152	бензин	автомат	передний	209686	Unknown
2014	994680	1.8	152	бензин	робот	передний	221001	хорошая цена
2012	1350000	1.8	152	бензин	автомат	передний	226000	нормальная цена
2013	1050000	1.8	152	бензин	робот	передний	252000	хорошая цена
2018	1350000	1.4	150	бензин	механика	передний	150000	хорошая цена
2018	2300000	1.4	150	бензин	робот	передний	130400	нормальная цена
2008	880000	1.8	150	бензин	автомат	передний	253000	нормальная цена
2012	1440000	1.8	152	бензин	автомат	передний	255000	высокая цена
2011	1049000	1.8	152	бензин	автомат	передний	192769	нормальная цена
2018	2385000	1.8	180	бензин	робот	передний	160000	нормальная цена
2002	450000	1.8	150	бензин	механика	передний	390000	нормальная цена
2012	1550000	1.8	152	бензин	автомат	передний	230000	нормальная цена
2018	2399000	1.8	180	бензин	робот	передний	177893	нормальная цена
2014	1400000	1.8	152	бензин	робот	передний	156000	нормальная цена
2008	1289000	1.8	160	бензин	механика	передний	212508	высокая цена
2020	2520000	1.6	120	дизель	робот	передний	220000	нормальная цена
2017	2190000	1.4	150	бензин	робот	передний	118765	нормальная цена
2012	1230000	1.8	152	бензин	автомат	передний	240000	нормальная цена
2014	920000	1.8	152	бензин	робот	передний	153026	Unknown
2018	2565000	1.4	150	бензин	робот	передний	34369	нормальная цена
2017	2320000	1.4	150	бензин	робот	передний	96590	нормальная цена
2014	1350000	1.8	152	бензин	робот	передний	258000	нормальная цена
2019	2895000	2.0	190	дизель	робот	передний	57755	нормальная цена
2018	1900000	2.0	220	бензин	робот	передний	140000	хорошая цена
2018	2750000	1.4	150	бензин	робот	передний	95000	нормальная цена
2011	749000	2.0	140	дизель	робот	передний	320000	Unknown
2021	3399000	2.0	190	бензин	робот	передний	35284	нормальная цена
2010	950000	1.8	152	бензин	робот	передний	199000	нормальная цена
2019	2293000	1.8	180	бензин	робот	передний	141835	нормальная цена
2006	895000	1.8	150	бензин	механика	передний	210000	нормальная цена
2004	600000	1.8	150	бензин	механика	передний	233000	нормальная цена
2008	1040000	1.8	160	бензин	механика	передний	257000	нормальная цена
2015	2100000	1.8	180	бензин	робот	передний	141989	нормальная цена
2014	1330000	1.8	152	бензин	робот	передний	190000	нормальная цена
2006	339000	1.8	150	бензин	автомат	передний	210000	Unknown
2004	380000	1.8	150	бензин	автомат	передний	221073	нормальная цена
